Master_id,temp_acc_year,Accnt year,acc_year/id,date_from,Assess year,assess_year/id,reg_id,name,wakf_id/id,line_1,line_2,line_3
170,,2012-2013,__export__.account_fiscalyear_246,2014-03-28,2013-2014,__export__.account_fiscalyear_247,7269,3606,__export__.res_partner_4324,0,0,0
172,,2000-2001,__export__.account_fiscalyear_234,2001-11-09,2001-2002,__export__.account_fiscalyear_235,2969,3864,__export__.res_partner_6383,0,0,0
179,,2012-2013,__export__.account_fiscalyear_246,2013-11-08,2013-2014,__export__.account_fiscalyear_247,6957,3624,__export__.res_partner_6396,0,0,0
181,,2011-2012,__export__.account_fiscalyear_245,2013-01-10,2012-2013,__export__.account_fiscalyear_246,5518,3587,__export__.res_partner_7542,0,0,0
182,,2012-2013,__export__.account_fiscalyear_246,2014-02-20,2013-2014,__export__.account_fiscalyear_247,5518,3587,__export__.res_partner_7542,0,0,0
183,,2012-2013,__export__.account_fiscalyear_246,2013-08-16,2013-2014,__export__.account_fiscalyear_247,6276,3943,__export__.res_partner_7214,0,0,0
184,,2011-2012,__export__.account_fiscalyear_245,2013-08-14,2013-2014,__export__.account_fiscalyear_247,7188,3646,__export__.res_partner_1789,0,0,0
185,,2012-2013,__export__.account_fiscalyear_246,2013-08-14,2013-2014,__export__.account_fiscalyear_247,7188,3646,__export__.res_partner_1789,0,0,0
186,1983-1999,1983-1999,,2000-12-09,2000-2001,__export__.account_fiscalyear_234,3013,3658,__export__.res_partner_5814,0,0,0
187,,2002-2003,__export__.account_fiscalyear_236,2004-05-28,2004-2005,__export__.account_fiscalyear_238,3013,3658,__export__.res_partner_5814,0,0,0
188,,2005-2006,__export__.account_fiscalyear_239,2006-12-30,2006-2007,__export__.account_fiscalyear_240,3013,3658,__export__.res_partner_5814,0,0,0
189,,2006-2007,__export__.account_fiscalyear_240,2007-11-23,2007-2008,__export__.account_fiscalyear_241,3013,3658,__export__.res_partner_5814,0,0,0
190,,2007-2008,__export__.account_fiscalyear_241,2009-03-25,2008-2009,__export__.account_fiscalyear_242,3013,3658,__export__.res_partner_5814,0,0,0
191,,2009-2010,__export__.account_fiscalyear_243,2010-07-24,2010-2011,__export__.account_fiscalyear_244,3013,3658,__export__.res_partner_5814,0,0,0
192,,2010-2011,__export__.account_fiscalyear_244,2012-03-30,2011-2012,__export__.account_fiscalyear_245,3013,3658,__export__.res_partner_5814,0,0,0
193,,2008-2009,__export__.account_fiscalyear_242,2009-10-12,2009-2010,__export__.account_fiscalyear_243,3013,3658,__export__.res_partner_5814,0,0,0
194,,2007-2008,__export__.account_fiscalyear_241,2009-03-18,2008-2009,__export__.account_fiscalyear_242,6687,3649,__export__.res_partner_5462,0,0,0
195,,2008-2009,__export__.account_fiscalyear_242,2009-09-08,2009-2010,__export__.account_fiscalyear_243,6687,3649,__export__.res_partner_5462,0,0,0
196,,2009-2010,__export__.account_fiscalyear_243,2010-09-30,2010-2011,__export__.account_fiscalyear_244,6687,3649,__export__.res_partner_5462,0,0,0
197,,2011-2012,__export__.account_fiscalyear_245,2012-08-08,2012-2013,__export__.account_fiscalyear_246,6687,3649,__export__.res_partner_5462,0,0,0
198,,2012-2013,__export__.account_fiscalyear_246,2013-08-14,2013-2014,__export__.account_fiscalyear_247,7061,4155,__export__.res_partner_678,0,0,0
199,1980-1999,1980-1999,,2000-06-13,2000-2001,__export__.account_fiscalyear_234,7233,3644,__export__.res_partner_214,0,0,0
200,,2011-2012,__export__.account_fiscalyear_245,2012-11-19,2012-2013,__export__.account_fiscalyear_246,7233,3644,__export__.res_partner_214,0,0,0
