master_id,temp_acc_year,Accnt year,acc_year/id,date_from,Assess year,assess_year/id,reg_id,name,wakf_id/id,line_1,line_2,line_3
209,,2009-2010,__export__.account_fiscalyear_186,2010-10-01,2010-2011,__export__.account_fiscalyear_187,2937,3831,__export__.res_partner_7067,0,0,0
210,,2004-2005,__export__.account_fiscalyear_181,2005-12-23,2005-2006,__export__.account_fiscalyear_182,2937,3831,__export__.res_partner_7067,0,0,0
211,,2011-2012,__export__.account_fiscalyear_188,2012-12-14,2012-2013,__export__.account_fiscalyear_189,4949,3454,__export__.res_partner_1662,0,0,0
212,,1991-1992,__export__.account_fiscalyear_479,2001-02-12,2000-2001,__export__.account_fiscalyear_177,4949,3454,__export__.res_partner_1662,0,0,0
213,,2003-2004,__export__.account_fiscalyear_180,2005-07-15,2005-2006,__export__.account_fiscalyear_182,4949,3454,__export__.res_partner_1662,0,0,0
214,,2006-2007,__export__.account_fiscalyear_183,2008-12-03,2008-2009,__export__.account_fiscalyear_185,4949,3454,__export__.res_partner_1662,0,0,0
215,,2011-2012,__export__.account_fiscalyear_188,2013-02-26,2012-2013,__export__.account_fiscalyear_189,4949,3454,__export__.res_partner_1662,0,0,0
216,,2007-2008,__export__.account_fiscalyear_184,2013-05-18,2013-2014,__export__.account_fiscalyear_190,4949,3454,__export__.res_partner_1662,0,0,0
217,,2008-2009,__export__.account_fiscalyear_185,2013-05-18,2013-2014,__export__.account_fiscalyear_190,4949,3454,__export__.res_partner_1662,0,0,0
218,,2009-2010,__export__.account_fiscalyear_186,2013-05-18,2013-2014,__export__.account_fiscalyear_190,4949,3454,__export__.res_partner_1662,0,0,0
219,,2010-2011,__export__.account_fiscalyear_187,2013-05-18,2013-2014,__export__.account_fiscalyear_190,4949,3454,__export__.res_partner_1662,0,0,0
220,,2009-2010,__export__.account_fiscalyear_186,2011-04-20,2011-2012,__export__.account_fiscalyear_188,5022,3381,__export__.res_partner_5248,0,0,0
