reg_no,partner_id/id,approve,assess_year/id,cancel,cancel_date,certificate_no,certified_date,collection_charge,wakf_district/id,file_no,grand_total,rr_execute,recover_amount,requisiton_no,send
5174,__export__.res_partner_3955,FALSE,__export__.account_fiscalyear_228,FALSE,,39/13-14,2013-12-13,911,__export__.wakf_district_2,B1-5174/RA,19127,FALSE,18216,39/13-14,FALSE
5212,__export__.res_partner_1780,FALSE,__export__.account_fiscalyear_228,FALSE,,40/13-14,2013-12-16,553,__export__.wakf_district_2,B1-5212/RA,11604,FALSE,11051,40/13-14,FALSE
5221,__export__.res_partner_5803,FALSE,__export__.account_fiscalyear_228,FALSE,,41/13-14,2013-12-16,514,__export__.wakf_district_2,B1-5221/RA,10796,FALSE,10282,41/13-14,FALSE
5222,__export__.res_partner_2223,FALSE,__export__.account_fiscalyear_228,FALSE,,42/13-14,2013-12-16,642,__export__.wakf_district_2,B1-5222/RA,13483,FALSE,12841,42/13-14,FALSE
5247,__export__.res_partner_3319,FALSE,__export__.account_fiscalyear_228,FALSE,,43/13-14,2013-12-16,579,__export__.wakf_district_2,B1-5247/RA,12161,FALSE,11582,43/13-14,FALSE
1336,__export__.res_partner_5802,FALSE,__export__.account_fiscalyear_228,FALSE,,45/13-14,2014-01-07,229,__export__.wakf_district_2,B2-1336/RA,4810,FALSE,4581,45/13-14,FALSE
1123,__export__.res_partner_1020,FALSE,__export__.account_fiscalyear_228,FALSE,,46/13-14,2014-01-15,842,__export__.wakf_district_2,B1-1123/RA,17687,FALSE,16845,46/13-14,FALSE
2591,__export__.res_partner_6564,FALSE,__export__.account_fiscalyear_228,FALSE,,47/13-14,2014-01-17,1709,__export__.wakf_district_2,B2-2591/RA,35890,FALSE,34181,47/13-14,FALSE
1406,__export__.res_partner_7656,FALSE,__export__.account_fiscalyear_228,FALSE,,48/13-14,2014-01-18,642,__export__.wakf_district_2,B1-1406/RA,13483,FALSE,12841,48/13-14,FALSE
1464,__export__.res_partner_4922,FALSE,__export__.account_fiscalyear_228,FALSE,,50/13-14,2014-01-21,1088,__export__.wakf_district_2,B1-1464/RA,22840,FALSE,21752,50/13-14,FALSE
4463,__export__.res_partner_3005,FALSE,__export__.account_fiscalyear_228,FALSE,,51/13-14,2014-01-21,803,__export__.wakf_district_2,B2-4463/RA,16858,FALSE,16055,51/13-14,FALSE
1658,__export__.res_partner_1612,FALSE,__export__.account_fiscalyear_228,FALSE,,52/13-14,2014-01-27,549,__export__.wakf_district_2,B1-1658/RA,11532,FALSE,10983,52/13-14,FALSE
1668,__export__.res_partner_3688,FALSE,__export__.account_fiscalyear_228,FALSE,,53/13-14,2014-01-27,735,__export__.wakf_district_2,B1-1668/RA,15444,FALSE,14709,53/13-14,FALSE
1678,__export__.res_partner_1820,FALSE,__export__.account_fiscalyear_228,FALSE,,54/13-14,2014-01-28,552,__export__.wakf_district_2,B1-1678/RA,11598,FALSE,11046,54/13-14,FALSE
1708,__export__.res_partner_1062,FALSE,__export__.account_fiscalyear_228,FALSE,,55/13-14,2014-01-28,779,__export__.wakf_district_2,B1-1708/RA,16358,FALSE,15579,55/13-14,FALSE
4416,__export__.res_partner_1952,FALSE,__export__.account_fiscalyear_228,FALSE,,56/13-14,2014-01-29,759,__export__.wakf_district_2,B1-4416/RA,15944,FALSE,15185,56/13-14,FALSE
4628,__export__.res_partner_3482,FALSE,__export__.account_fiscalyear_228,FALSE,,57/13-14,2014-02-04,683,__export__.wakf_district_2,B1-4628/RA,14339,FALSE,13656,57/13-14,FALSE
4719,__export__.res_partner_6894,FALSE,__export__.account_fiscalyear_228,FALSE,,58/13-14,2014-02-04,788,__export__.wakf_district_2,B1-4719/RA,16547,FALSE,15759,58/13-14,FALSE
4749,__export__.res_partner_3304,FALSE,__export__.account_fiscalyear_228,FALSE,,59/13-14,2014-02-04,730,__export__.wakf_district_2,B1-4749/RA,15339,FALSE,14609,59/13-14,FALSE
1785,__export__.res_partner_8514,FALSE,__export__.account_fiscalyear_228,FALSE,,60/13-14,2014-02-05,1223,__export__.wakf_district_2,B2-1785/RA,25691,FALSE,24468,60/13-14,FALSE
2614,__export__.res_partner_2539,FALSE,__export__.account_fiscalyear_228,FALSE,,61/13-14,2014-02-06,868,__export__.wakf_district_2,B2-2614/RA,18219,FALSE,17351,61/13-14,FALSE
4665,__export__.res_partner_4067,FALSE,__export__.account_fiscalyear_228,FALSE,,62/13-14,2014-02-06,825,__export__.wakf_district_7,B2-4665/RA,17334,FALSE,16509,62/13-14,FALSE
4127,__export__.res_partner_7164,FALSE,__export__.account_fiscalyear_228,FALSE,,63/13-14,2014-02-20,756,__export__.wakf_district_2,B2-4127/RA,15878,FALSE,15122,63/13-14,FALSE
4365,__export__.res_partner_8030,FALSE,__export__.account_fiscalyear_228,FALSE,,64/13-14,2014-03-04,2058,__export__.wakf_district_2,B2-4365/RA,43227,FALSE,41169,64/13-14,FALSE
7098,__export__.res_partner_5358,FALSE,__export__.account_fiscalyear_228,FALSE,,65/13-14,2014-03-04,3518,__export__.wakf_district_7,B2-7098/RA,73873,FALSE,70355,65/13-14,FALSE
1793,__export__.res_partner_1034,FALSE,__export__.account_fiscalyear_228,FALSE,,66/13-14,2014-03-11,1420,__export__.wakf_district_2,B1-1793/RA,29817,FALSE,28397,66/13-14,FALSE
1843,__export__.res_partner_6038,FALSE,__export__.account_fiscalyear_228,FALSE,,67/13-14,2014-03-11,559,__export__.wakf_district_2,B1-1843/RA,11738,FALSE,11179,67/13-14,FALSE
