line_2,line_3,line_1,wakf_id/id,name,assess_year/id,date_from,acc_year/id,temp_acc_year
0,0,0,__export__.res_partner_8218,2089,__export__.account_fiscalyear_228,2013-12-07,__export__.account_fiscalyear_227,
0,0,57700,__export__.res_partner_6587,1606,__export__.account_fiscalyear_228,2013-11-12,__export__.account_fiscalyear_227,
0,0,6745,__export__.res_partner_2481,2079,__export__.account_fiscalyear_228,2013-12-07,__export__.account_fiscalyear_227,
0,0,623393,__export__.res_partner_2922,1848,__export__.account_fiscalyear_228,2013-12-07,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_2609,2595,__export__.account_fiscalyear_228,2013-12-10,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_2609,2595,__export__.account_fiscalyear_228,2013-12-10,__export__.account_fiscalyear_227,
0,0,950,__export__.res_partner_8520,2597,__export__.account_fiscalyear_228,2013-12-10,__export__.account_fiscalyear_227,
0,0,1832,__export__.res_partner_763,2040,__export__.account_fiscalyear_228,2013-12-10,__export__.account_fiscalyear_227,
0,0,2603,__export__.res_partner_3426,1908,__export__.account_fiscalyear_228,2013-12-10,__export__.account_fiscalyear_227,
0,0,13775,__export__.res_partner_3994,1993,__export__.account_fiscalyear_228,2013-12-10,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_1654,4342,__export__.account_fiscalyear_228,2013-12-11,__export__.account_fiscalyear_226,
0,0,3972,__export__.res_partner_7420,2065,__export__.account_fiscalyear_228,2013-12-11,__export__.account_fiscalyear_227,
73157,0,4508,__export__.res_partner_3209,1748,__export__.account_fiscalyear_228,2013-12-11,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_5562,1272,__export__.account_fiscalyear_228,2013-12-12,__export__.account_fiscalyear_227,
0,0,533.35,__export__.res_partner_8262,5299,__export__.account_fiscalyear_228,2013-12-12,__export__.account_fiscalyear_227,
0,0,69,__export__.res_partner_2984,2501,__export__.account_fiscalyear_228,2013-12-12,__export__.account_fiscalyear_224,
0,0,0,__export__.res_partner_3028,4343,__export__.account_fiscalyear_228,2013-12-12,,2006-2008
0,0,0,__export__.res_partner_8230,1913,__export__.account_fiscalyear_228,2013-12-12,,2001-2008
0,0,229,__export__.res_partner_1307,2388,__export__.account_fiscalyear_228,2013-12-12,__export__.account_fiscalyear_227,
